synset_id,pos,definition,wiki,example_count,examples_joined,literal_count
TUR10-0235320,v,Rüzgâr yavaş bir biçimde ve serin olarak esmek,,0,,1
TUR10-0235330,b,"Hafif, kesintili ve yavaş bir biçimde rüzgâr esmek, kar yağmak, saç dalgalanmak",,0,,1
TUR10-0235350,v,"Yazın rüzgâr yavaş yavaş, serin serin esmek",,0,,2
TUR10-0235400,n,Efkârlanma işi veya biçimi,,0,,1
TUR10-0235410,n,Efkârlanmak eylemi; tasalanma; kaygılanma; üzülme,,0,,1
TUR10-0235430,a,Tasalanmış; tasalı; kaygılı,,1,Sigarasını efkârlı olduğu zamanlar yaptığı gibi sık nefeslerle çabuk çabuk içiyordu.,2
TUR10-0235450,n,Açık mor renk,https://tr.wikipedia.org/wiki/Eflatun_(renk),0,,1
TUR10-0235460,a,Eflatun renginde olan,,0,,1
TUR10-0235470,n,Eflatun rengi,,0,,1
TUR10-0235480,a,Eflatuni renginde olan,,0,,1
TUR10-0235490,a,"Gerçekte var olmayan, düşte kalan, hep öyle kalması istenilen aşk, sevgi ve ilgi",,1,Kadını gayet ihtiyar bir adama nikâh ederler ve bu mecburi izdivaç tabiatıyla gayet eflatuni kalır.|Kadını gayet ihtiyar bir adama nikâh ederler ve bu mecburi izdivaç tabiatıyla gayet eflâtunî kalır.,2
TUR10-0235500,a,"Rengi eflatunu andıran, eflatuna benzeyen",,0,,1
TUR10-0235540,n,"Eski Yunan ve Roma yapılarında taban kirişi ile çatı arasında kalan, üzeri boydan boya kabartmalarla süslü bölüm",https://tr.wikipedia.org/wiki/Friz,1,"Antik tapınağın friz kısmındaki mitolojik figürler, tarihin derinliklerinden gelen hikayeleri anlatıyor gibiydi.",2
TUR10-0235560,n,"Gerçeğe dayanmayan, asılsız söz, hikâye vb",,1,Hamdi'nin hayatına dair uydurulmuş efsanelerden birisi de onun müthiş bir aşk yüzünden bu hâle geldiğidir.,1
TUR10-0235580,v,Efsane durumuna gelmek,,1,"Zaptiye ve hafiye vakalarına dair havadisler bize, âdeta, efsaneleşmiş olarak aksetmez miydi?",1
TUR10-0235630,a,Efsanesi olan,,1,"Tel, insan azmanı bir şeyhe ait iri, siyah, binbir taneli, efsaneli bir tespihe benziyor.",1
TUR10-0235640,a,Efsanesi olmayan,,0,,1
TUR10-0235720,n,"Bir çocuğu koruyan, işlerine bakan ve her türlü davranışından sorumlu kimse",,0,,2
TUR10-0235740,a,"Sözünü geçiren, üstünlük kazanan",,1,Egemen güçler,1
TUR10-0235770,n,Kısa kır manzumesi; çoban türküsü,https://tr.wikipedia.org/wiki/Eglog,0,,1
TUR10-0235780,n,Bir kimsenin kişiliğini oluşturan temel öge,https://tr.wikipedia.org/wiki/Ben_(psikoloji),0,,2
TUR10-0235790,a,"Yalnız kendini düşünen, kendi çıkarlarını herkesinkinden üstün tutan",,1,"Bencildir insanoğlu, bencil olduğu için de yalnız kendi dertlerini düşünür, yalnız onlara inanır.",5
TUR10-0235820,a,Egosantrizm yanlısı,,0,,1
TUR10-0235840,n,"Kendi benliğinin gelişimini, bütün davranışlarının ilkesi yapan kişinin niteliği",,0,,2
TUR10-0235860,a,Egzaması olan,,0,,1
TUR10-0235900,n,Var oluşun özden önce geldiğini ve özü sürekli olarak yarattığını ileri süren öğreti,https://tr.wikipedia.org/wiki/Varoluşçuluk,0,,3
TUR10-0235940,n,"Ana malzemesi deniz kırlangıcı, kaplumbağa vb. deniz ürünleri olan bir çorba türü",,0,,1
TUR10-0235960,n,İçten yanmalı motorlarda yanan akaryakıtın gazı,,1,"Büyük kentin yazın egzoz, kışın kalorifer dumanı kokan havasından...",1
TUR10-0235970,n,Bu gazın boşaltılması,,0,,1
TUR10-0235990,n,"Patlamalı veya tepkili motorlarda, yanmış gazların dışarıya atılmasından doğan gürültüyü önlemeye, azaltmaya yarayan araç",https://tr.wikipedia.org/wiki/Egzoz_susturucusu,1,Arabanın susturucusu bozulduğu için motor sesi rahatsız edici bir şekilde duyuluyordu.,2
TUR10-0236000,n,Taşıtlarda egzoz düzenini yapan veya onaran usta,,0,,1
TUR10-0236020,n,Egzozdan atılan gaz,https://tr.wikipedia.org/wiki/Egzoz_gazı,0,,1
TUR10-0236070,n,"Maden, tahta ve benzerinin pürüzlerini düzeltmek için kullanılan, üzeri pürtüklü, sert, ensiz, çelik araç",,1,Şimdi sen oradan kendine bir parça seç ve önce eğe ile düzeltmeye başla.,1
TUR10-0236090,v,"Eğe ile düzleştirmek, aşındırmak",,0,,1
TUR10-0236110,n,Yemiş koparırken dalları çekmeye veya kovandan bal almaya yarayan araç,,0,,1
TUR10-0236140,a,Bükülmüş,,1,"Başı yine yere eğik, sol kolu yine kalçasındaydı.",1
TUR10-0236150,n,Dik veya paralel olmayan doğru,,0,,1
TUR10-0236160,n,Ekseni tabanına dikey olmayan biçme,,0,,1
TUR10-0236170,n,Düz olmayan çizgi,,0,,1
TUR10-0236180,n,"Yan yana yazılan dizeler, kelime grupları ve cümle ögeleri, adres yazarken kapı numarası ile daire numarası ve benzerinin arasına konulan noktalama işareti /",https://tr.wikipedia.org/wiki/Eğik_çizgi,0,,1
TUR10-0236190,n,Bölme işlemini gösteren işaret,,0,,1
TUR10-0236200,n,"Bir cismi yükseğe çıkarmak için gerekli gücü ayarlamada kullanılan eğik, düz yüzey",https://tr.wikipedia.org/wiki/Eğik_düzlem,0,,1
TUR10-0236220,n,"Bir düzlem üzerinde hareket eden bir gök cismine ilişkin yörünge düzleminin, tutuluma bakış doğrultusuna dik düzleme veya belirtilmiş herhangi bir düzleme göre yaptığı açı",https://tr.wikipedia.org/wiki/Yörünge_eğikliği,0,,1
TUR10-0236230,n,Ekseni tabanına dikey olmayan silindir,,0,,1
TUR10-0236240,n,"Bir şeyi sevmeye, istemeye veya yapmaya içten yönelme",,1,Musiki ruhların en tabii temayülleri arasındadır.,6
TUR10-0236250,n,"Para piyasalarında zamanla oluşan değişim, alım satım işlemleriyle ilgili iniş çıkış seyri",,0,,1
TUR10-0236260,a,"Eğilimi olan, bir şeyi yapmaya içten yönelmiş",,1,Benim aklım yine eski usulümüze yatkın.|Olayları abartmaya mail bir yapısı olduğu hemen fark ediliyordu.,5
TUR10-0236270,a,Eğilimi olmayan,,0,,1
TUR10-0236290,n,Eğilmek işi,,1,"İstese bile kendisini veremiyor, belirsiz bir tiksinti o yöne eğilmesini engelliyordu.",1
TUR10-0236300,n,"Bir doğrunun, bir başka doğruya veya düzleme göre eğik olması",,0,,1
TUR10-0236310,n,Yerin manyetik alanında bulunan serbest mıknatıslı bir iğnenin doğrultusu ile yatay düzlem arasındaki açı,,0,,1
TUR10-0236320,v,"Belirli bir yönle açı oluşturacak bir durum almak, bir yöne doğru çarpılmak, dikliğini kaybetmek",,1,"Tabak eğildi, yemek döküldü",4
TUR10-0236330,v,"İnsan, bir işi yapmak için belini eğmek",,1,"Tenis oynarken yüz çeşit çeviklikler içinde eğilir, kalkar, sıçrar, koşar.",1
TUR10-0236340,v,"Başkasının baskısını veya egemenliğini benimsemek, kabul etmek",,1,Türk eğilmez.,1
TUR10-0236350,v,Bir işi önemseyip ele almak,,1,"Bir yandan ayrıntılara eğilirken, bir yandan da bunları alaylı bir süzgeçten geçirir.",1
TUR10-0236360,n,Eğilmiş olma durumu,,0,,1
TUR10-0236370,n,Bir yüzeyin yatay düzleme doğru eğilmesi,,1,Yamacın eğimi.,5
TUR10-0236380,a,Eğimi olan,,0,,1
TUR10-0236400,n,"Bir yüzey, düzlem, yol veya cihazın yatay düzleme oranla eğimini ölçen araç",https://tr.wikipedia.org/wiki/Eğimölçer,0,,2
TUR10-0236410,a,Eğimi olmayan,,0,,1
TUR10-0236430,n,Canlı varlıkların maddi bölümü,,1,Büyüdüm çabuk / Entarim eğnime dar,3
TUR10-0236450,a,"Eğilmiş olan, eğik",,0,,1
TUR10-0236460,a,"Bir şeyi sevmiş, istemiş veya yapmaya içten yönelmiş olan",,0,,1
TUR10-0236490,n,Eğelenen bir şeyden dökülen ince toz,,1,Demir eğintisi.,1
TUR10-0236500,n,Arıların çıkardığı bir tür salgı,,0,,1
TUR10-0236510,n,"Dere ve durgun su kenarlarında yetişen, 50-125 cm yüksekliğinde, çok yıllık ve otsu bir bitki",,0,,1
TUR10-0236530,v,"Yün, pamuk ve benzerini iğ ile büküp iplik durumuna getirmek",,0,,1
TUR10-0236550,n,Kışın arıların kovan deliklerine sıvadıkları madde,,0,,1
TUR10-0236590,n,Genellikle çocuk eğitimi ile uğraşan kimse,,0,,2
TUR10-0236600,a,"Eğitimi sağlayan, eğitmeye elverişli veya eğiten değerleri bulunan",,0,,1
TUR10-0236610,n,Eğitici olma durumu veya eğiticinin işi,,0,,1
TUR10-0236640,n,"Belli bir bilim dalı veya sanat kolunda yetiştirme, geliştirme ve eğitme işi",,1,Kulak eğitimi,1
TUR10-0236660,n,"Çocukların ve gençlerin toplum yaşayışında yerlerini almaları için gerekli bilgi, beceri ve anlayışları elde etmelerine, kişiliklerini geliştirmelerine okul içinde veya dışında, doğrudan veya dolaylı yardım etme; terbiye",https://tr.wikipedia.org/wiki/Eğitim,1,Bu çocuğun eğitimi sanıldığı kadar güç değildir,2
TUR10-0236670,n,Öğretim ve eğitimi kurallara bağlayan bilim kolu,https://tr.wikipedia.org/wiki/Eğitim_bilimleri,0,,3
TUR10-0236680,n,"Öğretmenlik sanatı, uygulaması veya mesleği için gerekli bilgi ve becerileri kazandıran bilim dalı; pedagoji",,0,,1
TUR10-0236690,n,Eğitim işiyle uğraşan kimse,https://tr.wikipedia.org/wiki/Pedagog,1,"Kumandandan, Halide Hanım'la onun beğeneceği birkaç Türk terbiyecisinin Şam'a gelmeleri için uğraşmalarını tavsiye eden bir telgraf aldım.",4
TUR10-0236700,n,Eğitme işi veya eğitimcinin görevi,,0,,1
TUR10-0236710,n,Herhangi bir konuda bilgi ve becerileri geliştirmek için ayrılan süre,,0,,1
TUR10-0236720,n,Orta dereceli okullara öğretmen yetiştirmek için kurulmuş yüksekokul,,0,,1
TUR10-0236730,n,Öğretmen yetiştirmek için kurulmuş yükseköğretim kurumu,,0,,1
TUR10-0236740,n,Öğrencilerin eğitim ve öğretimlerinin yapıldığı yer,,0,,1
TUR10-0236750,a,Eğitim görmüş; eğitilmiş,,0,,1
TUR10-0236760,n,Eğitimi düzenleyen ve yönlendiren sistem,,1,"Artık kendi kafamıza göre davranabilir, istediğimiz eğitim programını gerçekleştirebilirdik.",1
TUR10-0236770,a,Pedagoji veya eğitimle ilgili olan,,0,,4
TUR10-0236810,v,"Birinin akla uygun, fiziksel ve moral gelişmesi üzerine etki yaparak çeşitli davranış yatkınlıkları, bilgi ve görgü aşılayarak önceden tespit edilmiş amaçlara göre onun belirli bir yönde gelişmesini sağlamak",,1,Çocukları eğitmek,3
TUR10-0236820,v,Hayvanı istenilen davranışları yapabilecek biçimde yetiştirmek,,0,,1
TUR10-0236840,n,Kurs görerek köyde öğretmenlik yapan kimse; köy öğretmeni,,1,Okudun mu canın çekerse köy yerinde eğitmen olursun.,1
TUR10-0236850,n,Eğitme işi,,1,Neden bir de onların eğitmenliğini yükleniyoruz?,1
TUR10-0236880,n,Sürünün yazın öğle sıcağında dinlendiği gölgelik,,0,,1
TUR10-0236890,n,Yol üzerinde veya kasabalarda yolcuların konaklamalarına yarayan yapı,,1,"Bir handa, yorgun argın tatlı bir uykudaydık.|Uzun yolculuğumuzda, geceyi geçirmek için kasaba meydanındaki eski hanın kapısını çaldık.|Yolculuk sırasında, kasabada bir konakta gecelemeye karar verdik.",4
TUR10-0236930,v,Avutmak,,0,,1
TUR10-0236950,n,Neşeli ve hoşça vakit geçirten şey,https://tr.wikipedia.org/wiki/Eğlence,0,,1
TUR10-0236970,a,"Eğlendiren, hoşa giden, neşeli",,1,"Dün gece çok şenlikli bir ortam vardı, hep birlikte eğlendik.",5
TUR10-0236980,n,"Şekerleme, badem, fıstık, kabak çekirdeği vb. şeyler",,0,,1
TUR10-0237010,n,"Eğlendirme niteliği olan, eğlendiren kimse veya şey",,0,,1
TUR10-0237080,n,Eğlenme işi,,1,Garp âleminde eğlenişin bir misali bu.,1
TUR10-0237110,n,"Bir kimsenin, bir şeyin, bir durumun, gülünç, kusurlu, eksik vb. yönlerini küçümseyerek eğlence konusu yapma",,1,Herkesle eğlenmeye ne hakkın var?,3
TUR10-0237120,n,"Zaman harcamak, vakit geçirmek işi",,1,"Salonun demirbaşı olan piyano, yağmurlu günlerde çocukların eğlenmesi için kullanıldı.",2
TUR10-0237130,v,"Neşeli, hoşça vakit geçirmek",,1,"Masadakiler eğlenirlerken vali dalgınlaşmıştı, pek dinlemiyordu konuşulanları.|Geceyi, eski arkadaşlarıyla birlikte gülerek ve sohbet ederek geçirdi.",2
TUR10-0237150,v,"Bir yerde bir süre oyalanmak, eğleşmek, tevakkuf etmek, beklemek",,1,Yemen'e gönderilirken Beyrut'ta bir hafta eğlenmiş hem şehri görmüş hem de Cebel köylerinde gezintiler yapmıştı.,2
TUR10-0237160,v,Oyalanmak,,1,Eğlenme de çabuk getir şu saati bari.,4
TUR10-0237200,v,"Bir yerde oturmak, yaşamak, ikamet etmek",,1,Yenişehir'de otururken...,1
TUR10-0237230,n,Çay ve ırmağın dönemeç yeri,,0,,1
TUR10-0237250,v,Düz olan bir şeyi eğik duruma getirmek,,1,"Bardağı eğmeyin, içindeki su dökülür",2
TUR10-0237270,n,Oğuz Türklerinin yirmi dört boyundan biri,,0,,1
TUR10-0237300,n,"Damarlı çiçeksizlerden, örneği eğrelti otu olan bir bitki topluluğu",,0,,2
TUR10-0237310,a,"Belirli bir süre sonra kaldırılacak olan, geçici",,1,O gün için oraya eğreti olarak getirilmişe benziyordu.|Asıl köprü bitinceye kadar eğreti köprüden geçilecek,2
TUR10-0237320,a,Gerçeğinin yerine konulan,,1,Eğreti diş. Eğreti bacak.,3
TUR10-0237330,a,"İyi yerleşmemiş, yerini bulmamış, belli belirsiz",,1,Tencerenin kapağı eğreti duruyormuş,1
TUR10-0237340,a,Uyumsuz; yakışmamış,,0,,1
TUR10-0237350,b,"Üstünkörü, ciddiye almadan",,1,"Her işi eğreti yapar oldun, her işi ucundan tutar oldun.",1
TUR10-0237380,n,Eğirdir Gölü'nde yaşayan bir balık,https://tr.wikipedia.org/wiki/Eğrez_balığı,0,,1
TUR10-0237390,a,"Doğru veya düz olmayan, bir noktasında yön değiştiren",,1,Eğri bir yol,3
TUR10-0237420,b,Yanlış bir biçimde,,1,"Gazetecilik bu oğlum, eğri, doğru yazılıp çıkmalı.",2
TUR10-0237430,n,Bir olayın şiddetindeki azalış ve çoğalışları gösteren çizgi,,1,Sıcaklık eğrisi. Hava nemi eğrisi.,1
TUR10-0237440,n,"Doğru veya düz olmayan çizgi, yüzey",https://tr.wikipedia.org/wiki/Eğri,1,Eğrinin yatay ekseni kestiği noktanın çemberin merkezine uzaklığını hesaplayalım,1
TUR10-0237450,a,Yer yer eğrilmiş ve bükülmüş olan; çarpık çurpuk,,1,Eğri büğrü sokaklarda kaybolduğumu sandığım bir dakikada birdenbire güzel bir meydana çıkıverdim.,1
TUR10-0237460,a,Az eğri olan,,0,,1
TUR10-0237470,n,"Genellikle sığırlara saldıran, onların kanını emen, yumurtalarını sığırın teni altına bırakan ve vızıltılarıyla tedirginlik yaratan sokucu sinek",,0,,6
TUR10-0237480,n,Buttan yapılan pastırma,,0,,1
TUR10-0237490,n,"Hoşnutsuzluğunu, kızgınlığını yüzüne sert bir anlam vererek belirten, öfkeli görünüşlü yüz",,0,,2
TUR10-0237510,a,Eğrisi olan,,0,,1
TUR10-0237580,a,Anafor,,0,,1
TUR10-0237590,a,"Yay gibi kavislenmiş, dalgası olan",,1,"İki zincirin arasında sallanan yarım kavisli oturma yerlerine binersin.|İki zincirin arasında sallanan yarım eğri oturma yerlerine binersin.|O, bütün hayatı dalgalı bir ummanda ve kaptan köprüsünde geçen kocasından, sahilde sessiz bir balıkçı kulübesine mahsus bir yaşayış istemez.",7
TUR10-0237600,n,Kötü söz,,0,,1
TUR10-0237610,a,Sözü kötü olan,,0,,1
TUR10-0237640,a,Asık surat,,0,,1
TUR10-0237660,n,Ucu yanmış odun,,1,Köseği odunla betona isimlerimizi yazdık.,2
TUR10-0237670,i,"""Olur, peki veya fena değil"" anlamlarında kullanılan bir söz",,1,"Eh, haydi gidelim",1
TUR10-0237680,i,Bezginlik anlatan bir söz,,1,"Eh, dün geceki kafayla bu kadarı olacaktı elbet!",1
TUR10-0237690,a,Çok önemli,,0,,1
TUR10-0237730,n,Ehemmiyetsiz olma durumu,,0,,1
TUR10-0237750,n,"Sahipler, sahip çıkanlar",,1,Sanat ehli. Zevk ehli.,3
TUR10-0237760,n,Karı kocadan her biri; eş,,1,Bu adam ehliyle iyi geçinmiyor.,1
TUR10-0237790,n,"Hazreti Muhammed’in kızını, damadını ve torunlarını içine alan ailesine verilen ad",https://tr.wikipedia.org/wiki/Ehl-i_beyt,0,,2
TUR10-0237820,n,"Rahatına düşkün kimse, keyif sahibi",,0,,1
TUR10-0237840,n,Eve ve insana alıştırmak kendisinden yararlanılabilir hale getirmek eylemi,,0,,3
TUR10-0237850,v,"Eve ve insana alışmış, kendisinden yararlanılabillir bir duruma gelmek",,0,,4
TUR10-0237880,n,"Eve ve insana alışmış, kendisinden yararlanılabilen bir duruma getirme eylemi",https://tr.wikipedia.org/wiki/Evcilleştirme,0,,3
TUR10-0237910,n,Hazreti Muhammed'in sünnetini yerine getirenler,,0,,1
TUR10-0237950,a,Bir işi yapma gücünü sağlayan özel bilgisi olan,,0,,3
TUR10-0237960,a,Ehliyeti olan,,0,,1
TUR10-0237980,n,"Taşıt sürücülerine ilgililerce verilen, araç kullanmada yeterli olmayı gösteren belge",https://tr.wikipedia.org/wiki/Sürücü_belgesi,0,,3
TUR10-0237990,a,"Bir işi yapmak için gereken yetilere sahip olmayan, yetersiz",,0,,1
TUR10-0238000,a,Ehliyeti olmayan,,1,"Seksenli yılların çıtırbom yayıncıları, ne türden bir kültürsüzleştirmeye hizmet ettiklerini acaba biliyorlar mı?",2
TUR10-0238020,n,"Güzel veya çirkin hükmünü verdiren duyguya sahip, zevkli kimse",,0,,1
TUR10-0238030,n,Mısır firavunlarının piramit biçimindeki mezarları,,0,,1
TUR10-0238040,n,"Tepeleri ortak bir noktada birleşen, tabanları da herhangi bir çokgenin birer kenarı olan birtakım üçgenlerden oluşmuş cisim",https://tr.wikipedia.org/wiki/Piramit,0,,2
TUR10-0238050,a,"Bir başkasından daha çok beğenilip tercih edilen, üstün görülen",,1,Ölüm kölelikten yeğdir.,5
TUR10-0238060,a,Ucuz,,0,,1
TUR10-0238070,n,Birkaç kötüden en az kötü olanı; kötünün iyisi,,0,,1
TUR10-0238090,n,"Zararı az, zararsız olma durumu",,1,"Pansiyon sahipleri, kirada gösterdikleri bu ehveniyeti diğer hileli muamelelerinde kabartmanın yolunu bilirler.",2
TUR10-0238110,n,Büyük yılan,,0,,1
TUR10-0238120,n,Türlü biçimlerde tasarlanan korkunç bir masal canavarı,https://tr.wikipedia.org/wiki/Ejderha,1,Otomobilimizi gören katırlar ejderha görmüşcesine kaçışıyorlar.|Otomobilimizi gören katırlar ejderha görmüşçesine kaçışıyorlar.,3
TUR10-0238130,n,"Belli hızla hareket eden bir akışkan yardımıyla, başka bir akışkanın boşalmasını sağlayan alet",https://tr.wikipedia.org/wiki/Ejektörlü_pompa,0,,2
TUR10-0238140,n,Bir şeyin eksiğini tamamlamak için ona katılan parça,,1,Yazının ekleri.|Bu yapbozun devamı nerede?,2
TUR10-0238160,n,"Sonradan katılan, dikilen, yapıştırılan parçanın belli olan yeri",,0,,1
TUR10-0238170,n,İki borunun birbirine birleştirildiği yer,,0,,1
TUR10-0238180,a,Eklenmiş; katılmış,,1,"Okul müdürüyken, okulun ek inşaatında hamallarla birlikte çalışmış.",1
TUR10-0238190,n,Kelime türetmek veya kelimenin görevini belirtmek için kullanılan şekil verici ses veya sesler,,1,"Gözlük kelimesindeki -lük eki, kelimenin anlamını genişleten bir lâhika olarak kullanılmış.",2
TUR10-0238200,n,"Büyükler, devlet büyükleri, ileri gelenler",,1,Kaymakam beyin hemen arkasında kalan ekâbiri umursamadan sıtma doktoru da kalkmıştı.,2
TUR10-0238210,n,Kendini beğenmiş kimse,,1,Senin gibi ekâbir bir adam bu tür haberlerin peşinde koşturmaz.,2
TUR10-0238220,n,Azınlık,,0,,1
TUR10-0238250,n,Yıllık bütçeye sonradan eklenen bütçe,,0,,1
TUR10-0238260,n,Haftalık zorunlu ders yükünün dışında kalan ders,,0,,1
TUR10-0238280,n,Yaşı küçük olduğu hâlde sözleri ve davranışları büyükmüş gibi olan çocuk,,0,,1
TUR10-0238300,n,"Ekime elverişli, ekilecek tarla veya yer",,1,"Ekeneği, çayırları, alışverişi olan adamdır.",2
TUR10-0238320,n,"İsim, sıfat, zamir vb. isim soyundan kelimelerin yüklem görevinde kullanılmasını sağlayan yardımcı fiil",https://tr.wikipedia.org/wiki/Ek_fiil,0,,4
TUR10-0238330,n,Bir kimsenin asıl işiyle birlikte yürüttüğü ikinci iş,,0,,2
TUR10-0238340,n,"Herhangi bir tarım ürününü üreten, tarımla uğraşan çiftçi",,1,Ekicinin ürünü değer fiyatına satın alınacaktır.,1
TUR10-0238350,n,"Birini uydurma bir sebeple bırakıp giden, atlatan kimse",,0,,1
TUR10-0238370,a,Ekilmiş olan,,1,Ekili tarla.,2
TUR10-0238400,n,Ekme işi,,1,Ekim biçim işlerini tamamıyla kadınlara bırakmışlardı.,1
TUR10-0238420,n,Tahılın tarlaya atıldığı andan harman oluncaya kadar aldığı durum,https://tr.wikipedia.org/wiki/ekin,1,"Yağmur vaktinde ve yeterince yağmalı; ekinlere kına, pancarlara kurt düşmemeli.",1
TUR10-0238440,n,"Yarım kanatlılardan, vücudu yeşil, başı siyah, ekinlere zararlı bir böcek",,0,,4
TUR10-0238450,n,"Geçimini toprağı ekerek, tarımla sağlayan kimse",https://tr.wikipedia.org/wiki/Çiftçi,1,"Ben dünyada balıkçıları, toprakla uğraşan rençperleri severim.|Bu topraklarda insanlar yüzyıllardır dikici olarak karın doyuruyor.|Köydeki her maraba sabah erkenden tarlaya gitmeye alışkındır.|Köydeki rençper, her yıl yeni mahsuller yetiştirerek ailesinin geçimini sağlıyor ve toprağın verimini artırmak için çeşitli yöntemler deniyordu.",6
TUR10-0238460,n,Ekin ekip biçme işi; tarım,,0,,1
TUR10-0238470,n,Başını dik tutup herkese yüksekten bakan kimse,,0,,1
TUR10-0238480,n,"Tüyleri parlak, kara ve erguvani parıltılı bir tür karga",https://tr.wikipedia.org/wiki/Ekin_kargası,0,,2
TUR10-0238490,n,Ekin ekilmiş yer,,0,,1
TUR10-0238500,n,Etoburların gelişmiş dönemlerinde bağırsaklarında yaşayan tenya türü,,0,,1
TUR10-0238510,n,Gece ile gündüzün eşit uzunlukta olması,https://tr.wikipedia.org/wiki/Ekinoks,0,,2
TUR10-0238520,n,Ekilen şey,,0,,1
TUR10-0238540,n,Bir işte görev alan kişi veya kişiler,,1,On kişilik bir tiyatro ekibi|İşin yürütülmesi için bu projeye 3 kol atandı.,2
TUR10-0238560,n,"Bir iş için gereken elemanları yetiştirmek, eğitmek için yapılan yatırım",,0,,1
TUR10-0238570,n,Banka müşterisinin kendi hesabından kart aracılığıyla harcama yetkisi verdiği ve kendisiyle birlikte müşterek ve müteselsil borçlu olan kişinin kullandığı kart,,0,,1
TUR10-0238580,n,Sapın yanlarından çıkan ince kök,https://tr.wikipedia.org/wiki/Ek_kök,0,,1
TUR10-0238590,a,Seçmeciliğe ilişkin,,1,Okurların bu eklektik bilgilerin temelini merak edip kitaplara başvuracağını umuyorlar.,2
TUR10-0238640,a,Eklenmiş,,0,,1
TUR10-0238670,v,Bir şeyi ek olarak kullanmak,,1,Bu kumaşı örtüye eklemeli.,1
TUR10-0238680,a,"Kelime üretim ve çekiminde ekler getirilirken kökü veya gövdesi değişikliğe uğramayan, bitişen dil",,0,,4
TUR10-0238700,v,Eklemle birleştirmek,,0,,1
TUR10-0238730,a,Eklemi olan,,0,,1
TUR10-0238740,n,"Sölomlu hayvanların, birincil ağızlılar filumundan, vücutları baş, göğüs ve karın olmak üzere üç bölgeye ayrılmış, derileri zaman zaman atılan kitin bir örtü ile kaplı olan, petek gözleri gelişmiş, ayrı eşeyli, kara, su ve havada yaşayan, bir milyon kadar türü bulunan ve iki alt dala ayrılan geniş bir dal",https://tr.wikipedia.org/wiki/Eklem_bacaklılar,0,,7
TUR10-0238750,a,Eklemi olmayan,,0,,1
TUR10-0238760,n,"Kolsu ayaklılardan, kavkı çenetleri arasında eklem olmayan bir sınıf",,0,,1
TUR10-0238770,n,Bir şeyi başka bir şeye ekleme,,0,,1
TUR10-0238780,v,Ekleme işi yapılmak,,1,"Anlatılanlara her fabrikada yeni pimler takılır, başka başka hikâyeler eklenirdi.|Biri bir hikaye anlatmaya görsün, ahali toplanır bir hikaye bine katılırdı.|Bu hikaye her anlatıldığında içine mutlaka başka bir şey karışıyor.|Bu kitabın sonuna birkaç yeni bölüm daha gelmek üzere, yakında basıma hazır olacak.",3
TUR10-0238800,n,"Bir şeye eklenmiş olan, ek durumunda bulunan parça",,1,"Ondan öğrendiklerim, onun ufku, onun kadar olmasa da birkaç önemli eklenti dışında, bugün de tümüyle geçerlidir.|Ondan öğrendiklerim, onun ufku, onun kadar olmasa da birkaç önemli eklenti dışında, bu gün de tümüyle geçerlidir.",1
TUR10-0238820,n,İçi krema ile doldurulmuş bir pasta türü,https://tr.wikipedia.org/wiki/Ekler,0,,1
TUR10-0238830,n,Üniversitelerde öğrencilerin ders seçme veya bırakma işlemi,,0,,1
TUR10-0238850,v,Ek durumuna gelmek,,1,Eski Türkçe turur kelimesi ekleşerek -dir şekline dönüşmüştür.,1
TUR10-0238930,n,Bir yıl boyunca güneşin gök küresi üzerinde çizdiği çemberin yüzeyi,,0,,1
TUR10-0238940,a,"Ekli, yamalı ve düzensiz",,1,"Tek kanatlı, tahta parçalarıyla ekli püklü, üstlerinden çatlak, topuzları kopmuş kapılar.",1
TUR10-0238960,n,"Tahıl unundan yapılmış hamurun fırında, sacda veya tandırda pişirilmesiyle yapılan yiyecek",https://tr.wikipedia.org/wiki/Ekmek,1,"Ah mübarek nimet, sana evvelden nanıaziz derlerdi.",3
TUR10-0238970,n,"İnsanı geçindirecek iş, kazanç",,1,Biz iyi kötü tiyatroya bağlamışız ekmeğimizi.,1
TUR10-0238990,v,Bir bitkiyi üretmek için toprağa tohum atmak veya gömmek,,1,Bu yıl tarlaları erken ektik,1
TUR10-0239000,v,Toprağı ekip biçmek için kullanmak,,1,Ancak senede otuz dönüm ekebiliyor.,1
TUR10-0239010,v,Serpmek,,1,Yemeğe biber ekmek.,1
TUR10-0239020,v,Bir şeyin başlamasına yol açacak sebepleri hazırlamak,,1,Fesat tohumları ekenler...,1
TUR10-0239040,v,"Parayı boşuna harcamak, ziyan etmek",,0,,1
TUR10-0239050,v,Yarışta geçmek,,1,Bizim otobüs onları ekti,1
TUR10-0239060,n,"Dutgillerden, sıcak ülkelerde yetişen, meyvesi beyaz etli ve biraz unlu, besleyici bir bitki",https://tr.wikipedia.org/wiki/Ekmek_ağacı,0,,2
TUR10-0239070,n,Gevrek ve sulu bir tür ayva,,0,,2
TUR10-0239080,n,Ekmek yapan veya satan kimse,,0,,1
TUR10-0239090,n,Ekmek satılan dükkân,,1,"Delikanlılardan biri, bir ekmekçi hamurkârı idi.",1
TUR10-0239100,n,Ekmek yapma veya satma işi,,0,,1
